,Time,Name,Maternal mortality ratio (%)
0,2000-01-01,Algeria,0.148
1,2000-01-01,Sub-Saharan Africa,0.717
2,2000-01-01,Sudan,0.44
3,2000-01-01,Suriname,0.223
4,2000-01-01,Swaziland,0.595
5,2000-01-01,Sweden,0.005
6,2000-01-01,Switzerland,0.007
7,2000-01-01,Syrian Arab Republic,0.058
8,2000-01-01,TFYR of Macedonia,0.01
9,2000-01-01,Tajikistan,0.046
10,2000-01-01,Thailand,0.026
11,2000-01-01,Timor-Leste,0.506
12,2000-01-01,Togo,0.427
13,2000-01-01,Costa Rica,0.031
14,2000-01-01,Tonga,0.114
15,2000-01-01,"Total, all countries or areas",0.288
16,2000-01-01,Trinidad and Tobago,0.062
17,2000-01-01,Tunisia,0.074
18,2000-01-01,Turkey,0.057
19,2000-01-01,Turkmenistan,0.053
20,2000-01-01,State of Palestine,0.062
21,2000-01-01,Sri Lanka,0.043
22,2000-01-01,Spain,0.005
23,2000-01-01,Southern Asia,0.288
24,2000-01-01,Rwanda,0.567
25,2000-01-01,Czechia,0.006
26,2000-01-01,Cyprus,0.012
27,2000-01-01,Saint Lucia,0.067
28,2000-01-01,Saint Vincent & Grenadines,0.05
29,2000-01-01,Samoa,0.077
30,2000-01-01,Cuba,0.041
31,2000-01-01,Sao Tome and Principe,0.181
32,2000-01-01,Saudi Arabia,0.018
33,2000-01-01,Congo,0.596
34,2000-01-01,Senegal,0.427
35,2000-01-01,Sierra Leone,1.986
36,2000-01-01,Singapore,0.016
37,2000-01-01,Croatia,0.011
38,2000-01-01,Slovenia,0.011
39,2000-01-01,Solomon Islands,0.164
40,2000-01-01,Somalia,0.939
41,2000-01-01,South Africa,0.112
42,2000-01-01,South Sudan,1.088
43,2000-01-01,South-eastern Asia,0.166
44,2000-01-01,Serbia,0.015
45,2000-01-01,Comoros,0.436
46,2000-01-01,Uganda,0.504
47,2000-01-01,Ukraine,0.03
48,2000-01-01,Bahrain,0.02
49,2000-01-01,Bangladesh,0.319
50,2000-01-01,Barbados,0.04
51,2000-01-01,Belarus,0.013
52,2000-01-01,Belgium,0.008
53,2000-01-01,Belize,0.052
54,2000-01-01,Benin,0.502
55,2000-01-01,Chile,0.027
56,2000-01-01,Bhutan,0.308
57,2000-01-01,Bahamas,0.074
58,2000-01-01,Bolivia (Plurin. State of),0.305
59,2000-01-01,Botswana,0.276
60,2000-01-01,Brazil,0.067
61,2000-01-01,Chad,1.168
62,2000-01-01,Brunei Darussalam,0.03
63,2000-01-01,Bulgaria,0.015
64,2000-01-01,Burkina Faso,0.468
65,2000-01-01,Burundi,0.863
66,2000-01-01,Cabo Verde,0.054
67,2000-01-01,Cambodia,0.315
68,2000-01-01,Bosnia and Herzegovina,0.014
69,2000-01-01,Russian Federation,0.042
70,2000-01-01,Azerbaijan,0.034
71,2000-01-01,Australia,0.007
72,2000-01-01,United Arab Emirates,0.006
73,2000-01-01,United Kingdom,0.012
74,2000-01-01,United Rep. of Tanzania,0.687
75,2000-01-01,United States of America,0.013
76,2000-01-01,Uzbekistan,0.042
77,2000-01-01,Vanuatu,0.116
78,2000-01-01,Venezuela (Boliv. Rep. of),0.093
79,2000-01-01,Viet Nam,0.061
80,2000-01-01,Colombia,0.08
81,2000-01-01,Austria,0.005
82,2000-01-01,Western Asia,0.11
83,2000-01-01,Zambia,0.372
84,2000-01-01,Zimbabwe,0.629
85,2000-01-01,Afghanistan,0.821
86,2000-01-01,Albania,0.03
87,2000-01-01,Algeria,0.148
88,2000-01-01,Angola,0.705
89,2000-01-01,China,0.048
90,2000-01-01,Argentina,0.058
91,2000-01-01,Armenia,0.04
92,2000-01-01,Yemen,0.428
93,2000-01-01,Cameroon,0.729
94,2000-01-01,Romania,0.033
95,2000-01-01,Republic of Korea,0.014
96,2000-01-01,Iceland,0.004
97,2000-01-01,India,0.28
98,2000-01-01,Indonesia,0.212
99,2000-01-01,Iran (Islamic Republic of),0.034
100,2000-01-01,Iraq,0.054
101,2000-01-01,Ireland,0.008
102,2000-01-01,Eastern Asia,0.048
103,2000-01-01,Israel,0.007
104,2000-01-01,Italy,0.004
105,2000-01-01,Japan,0.007
106,2000-01-01,Jordan,0.062
107,2000-01-01,Kazakhstan,0.044
108,2000-01-01,Kenya,0.728
109,2000-01-01,Kiribati,0.135
110,2000-01-01,Kuwait,0.006
111,2000-01-01,Kyrgyzstan,0.085
112,2000-01-01,Lao People's Dem. Rep.,0.418
113,2000-01-01,Latin America & the Caribbean,0.088
114,2000-01-01,Latvia,0.022
115,2000-01-01,Hungary,0.014
116,2000-01-01,Honduras,0.15
117,2000-01-01,Haiti,0.459
118,2000-01-01,Guyana,0.232
119,2000-01-01,Equatorial Guinea,0.483
120,2000-01-01,Eritrea,0.619
121,2000-01-01,Estonia,0.015
122,2000-01-01,Ethiopia,0.743
123,2000-01-01,Equatorial Guinea,0.483
124,2000-01-01,El Salvador,0.068
125,2000-01-01,Fiji,0.039
126,2000-01-01,Finland,0.004
127,2000-01-01,France,0.01
128,2000-01-01,Lebanon,0.027
129,2000-01-01,Gabon,0.37
130,2000-01-01,Georgia,0.037
131,2000-01-01,Ghana,0.376
132,2000-01-01,Egypt,0.052
133,2000-01-01,Greece,0.003
134,2000-01-01,Ecuador,0.074
135,2000-01-01,Grenada,0.025
136,2000-01-01,Guatemala,0.12
137,2000-01-01,Guinea,0.831
138,2000-01-01,Guinea-Bissau,0.714
139,2000-01-01,Gambia,0.807
140,2000-01-01,Lesotho,0.746
141,2000-01-01,Liberia,1.02
142,2000-01-01,Libya,0.011
143,2000-01-01,New Zealand,0.014
144,2000-01-01,Nicaragua,0.19
145,2000-01-01,Niger,0.723
146,2000-01-01,Nigeria,0.946
147,2000-01-01,Dem. People's Rep. Korea,0.105
148,2000-01-01,Northern Africa,0.095
149,2000-01-01,Côte d'Ivoire,0.742
150,2000-01-01,Norway,0.007
151,2000-01-01,Oman,0.02
152,2000-01-01,Netherlands,0.011
153,2000-01-01,Pakistan,0.249
154,2000-01-01,Panama,0.087
155,2000-01-01,Papua New Guinea,0.277
156,2000-01-01,Paraguay,0.159
157,2000-01-01,Peru,0.114
158,2000-01-01,Philippines,0.127
159,2000-01-01,Poland,0.006
160,2000-01-01,Portugal,0.012
161,2000-01-01,Puerto Rico,0.019
162,2000-01-01,Qatar,0.021
163,2000-01-01,Albania,0.03
164,2000-01-01,Republic of Moldova,0.039
165,2000-01-01,Nepal,0.444
166,2000-01-01,Namibia,0.39
167,2000-01-01,Lithuania,0.012
168,2000-01-01,Luxembourg,0.013
169,2000-01-01,Madagascar,0.508
170,2000-01-01,Malawi,0.648
171,2000-01-01,Malaysia,0.052
172,2000-01-01,Maldives,0.101
173,2000-01-01,Mali,0.714
174,2000-01-01,Malta,0.013
175,2000-01-01,Dominican Republic,0.064
176,2000-01-01,Dem. Rep. of the Congo,0.787
177,2000-01-01,Mauritania,0.75
178,2000-01-01,Mexico,0.054
179,2000-01-01,Micronesia (Fed. States of),0.134
180,2000-01-01,Djibouti,0.341
181,2000-01-01,Mongolia,0.095
182,2000-01-01,Montenegro,0.009
183,2000-01-01,Denmark,0.008
184,2000-01-01,Morocco,0.19
185,2000-01-01,Mozambique,0.762
186,2000-01-01,Myanmar,0.248
187,2000-01-01,Mauritius,0.039
188,2000-01-01,Canada,0.009
189,2000-01-01,Central African Republic,1.058
190,2000-01-01,Chad,1.168
191,2000-01-01,Belize,0.052
192,2000-01-01,Saint Lucia,0.067
193,2000-01-01,Belgium,0.008
194,2000-01-01,Saint Vincent & Grenadines,0.05
195,2000-01-01,Samoa,0.077
196,2000-01-01,Belarus,0.013
197,2000-01-01,Sao Tome and Principe,0.181
198,2000-01-01,Saudi Arabia,0.018
199,2000-01-01,Senegal,0.427
200,2000-01-01,Serbia,0.015
201,2000-01-01,Sierra Leone,1.986
202,2000-01-01,Singapore,0.016
203,2000-01-01,Barbados,0.04
204,2000-01-01,Slovenia,0.011
205,2000-01-01,Solomon Islands,0.164
206,2000-01-01,Somalia,0.939
207,2000-01-01,South Africa,0.112
208,2000-01-01,South Sudan,1.088
209,2000-01-01,South-eastern Asia,0.166
210,2000-01-01,Benin,0.502
211,2000-01-01,Rwanda,0.567
212,2000-01-01,Russian Federation,0.042
213,2000-01-01,Romania,0.033
214,2000-01-01,Niger,0.723
215,2000-01-01,Nigeria,0.946
216,2000-01-01,Bosnia and Herzegovina,0.014
217,2000-01-01,Northern Africa,0.095
218,2000-01-01,Bolivia (Plurin. State of),0.305
219,2000-01-01,Norway,0.007
220,2000-01-01,Oman,0.02
221,2000-01-01,Pakistan,0.249
222,2000-01-01,Bhutan,0.308
223,2000-01-01,Southern Asia,0.288
224,2000-01-01,Panama,0.087
225,2000-01-01,Paraguay,0.159
226,2000-01-01,Peru,0.114
227,2000-01-01,Philippines,0.127
228,2000-01-01,Poland,0.006
229,2000-01-01,Portugal,0.012
230,2000-01-01,Puerto Rico,0.019
231,2000-01-01,Qatar,0.021
232,2000-01-01,Republic of Korea,0.014
233,2000-01-01,Republic of Moldova,0.039
234,2000-01-01,Papua New Guinea,0.277
235,2000-01-01,Spain,0.005
236,2000-01-01,Sri Lanka,0.043
237,2000-01-01,State of Palestine,0.062
238,2000-01-01,United Kingdom,0.012
239,2000-01-01,United Rep. of Tanzania,0.687
240,2000-01-01,United States of America,0.013
241,2000-01-01,Uzbekistan,0.042
242,2000-01-01,Vanuatu,0.116
243,2000-01-01,Venezuela (Boliv. Rep. of),0.093
244,2000-01-01,Viet Nam,0.061
245,2000-01-01,Azerbaijan,0.034
246,2000-01-01,Western Asia,0.11
247,2000-01-01,United Arab Emirates,0.006
248,2000-01-01,Yemen,0.428
249,2000-01-01,Zimbabwe,0.629
250,2000-01-01,Afghanistan,0.821
251,2000-01-01,Albania,0.03
252,2000-01-01,Algeria,0.148
253,2000-01-01,Austria,0.005
254,2000-01-01,Angola,0.705
255,2000-01-01,Australia,0.007
256,2000-01-01,Argentina,0.058
257,2000-01-01,Armenia,0.04
258,2000-01-01,Zambia,0.372
259,2000-01-01,Nicaragua,0.19
260,2000-01-01,Ukraine,0.03
261,2000-01-01,Bahamas,0.074
262,2000-01-01,Sub-Saharan Africa,0.717
263,2000-01-01,Sudan,0.44
264,2000-01-01,Suriname,0.223
265,2000-01-01,Swaziland,0.595
266,2000-01-01,Sweden,0.005
267,2000-01-01,Switzerland,0.007
268,2000-01-01,Syrian Arab Republic,0.058
269,2000-01-01,TFYR of Macedonia,0.01
270,2000-01-01,Tajikistan,0.046
271,2000-01-01,Uganda,0.504
272,2000-01-01,Thailand,0.026
273,2000-01-01,Togo,0.427
274,2000-01-01,Bangladesh,0.319
275,2000-01-01,Tonga,0.114
276,2000-01-01,"Total, all countries or areas",0.288
277,2000-01-01,Trinidad and Tobago,0.062
278,2000-01-01,Tunisia,0.074
279,2000-01-01,Turkey,0.057
280,2000-01-01,Turkmenistan,0.053
281,2000-01-01,Bahrain,0.02
282,2000-01-01,Timor-Leste,0.506
283,2000-01-01,New Zealand,0.014
284,2000-01-01,Netherlands,0.011
285,2000-01-01,Nepal,0.444
286,2000-01-01,Ethiopia,0.743
287,2000-01-01,Canada,0.009
288,2000-01-01,Fiji,0.039
289,2000-01-01,Finland,0.004
290,2000-01-01,France,0.01
291,2000-01-01,Gabon,0.37
292,2000-01-01,Gambia,0.807
293,2000-01-01,Georgia,0.037
294,2000-01-01,Ghana,0.376
295,2000-01-01,Estonia,0.015
296,2000-01-01,Cameroon,0.729
297,2000-01-01,Cambodia,0.315
298,2000-01-01,Grenada,0.025
