,Time,Name,Infant mortality (%)
0,2000-01-01,Zimbabwe,6.720000000000001
1,2000-01-01,Zimbabwe,6.720000000000001
2,2000-01-01,Zimbabwe,6.720000000000001
3,2000-01-01,Zambia,8.22
4,2000-01-01,Zambia,8.22
5,2000-01-01,Zambia,8.22
6,2000-01-01,Yemen,6.790000000000001
7,2000-01-01,Yemen,6.790000000000001
8,2000-01-01,Yemen,6.790000000000001
9,2000-01-01,Western Sahara,5.29
10,2000-01-01,Western Sahara,5.29
11,2000-01-01,Western Sahara,5.29
12,2000-01-01,Western Europe,0.43
13,2000-01-01,Western Europe,0.43
14,2000-01-01,Western Europe,0.43
15,2000-01-01,Western Asia,3.09
16,2000-01-01,Western Asia,3.09
17,2000-01-01,Western Asia,3.09
18,2000-01-01,Western Africa,9.57
19,2000-01-01,Western Africa,9.57
20,2000-01-01,Western Africa,9.57
21,2000-01-01,Wallis and Futuna Islands,
22,2000-01-01,Wallis and Futuna Islands,
23,2000-01-01,Wallis and Futuna Islands,
24,2000-01-01,Viet Nam,2.5300000000000002
25,2000-01-01,Viet Nam,2.5300000000000002
26,2000-01-01,Viet Nam,2.5300000000000002
27,2000-01-01,Venezuela (Boliv. Rep. of),1.81
28,2000-01-01,Venezuela (Boliv. Rep. of),1.81
29,2000-01-01,Venezuela (Boliv. Rep. of),1.81
30,2000-01-01,Vanuatu,3.46
31,2000-01-01,Vanuatu,3.46
32,2000-01-01,Vanuatu,3.46
33,2000-01-01,Uzbekistan,4.95
34,2000-01-01,Uzbekistan,4.95
35,2000-01-01,Uzbekistan,4.95
36,2000-01-01,Uruguay,1.44
37,2000-01-01,Uruguay,1.44
38,2000-01-01,Uruguay,1.44
39,2000-01-01,United States of America,0.7
40,2000-01-01,United States of America,0.7
41,2000-01-01,United States of America,0.7
42,2000-01-01,United States Virgin Islands,1.16
43,2000-01-01,United States Virgin Islands,1.16
44,2000-01-01,United States Virgin Islands,1.16
45,2000-01-01,United Rep. of Tanzania,6.709999999999999
46,2000-01-01,United Rep. of Tanzania,6.709999999999999
47,2000-01-01,United Rep. of Tanzania,6.709999999999999
48,2000-01-01,United Kingdom,0.53
49,2000-01-01,United Kingdom,0.53
50,2000-01-01,United Kingdom,0.53
51,2000-01-01,United Arab Emirates,0.9199999999999999
52,2000-01-01,United Arab Emirates,0.9199999999999999
53,2000-01-01,United Arab Emirates,0.9199999999999999
54,2000-01-01,Ukraine,1.48
55,2000-01-01,Ukraine,1.48
56,2000-01-01,Ukraine,1.48
57,2000-01-01,Uganda,7.94
58,2000-01-01,Uganda,7.94
59,2000-01-01,Uganda,7.94
60,2000-01-01,Tuvalu,
61,2000-01-01,Tuvalu,
62,2000-01-01,Tuvalu,
63,2000-01-01,Turks and Caicos Islands,
64,2000-01-01,Turks and Caicos Islands,
65,2000-01-01,Turks and Caicos Islands,
66,2000-01-01,Turkmenistan,6.21
67,2000-01-01,Turkmenistan,6.21
68,2000-01-01,Turkmenistan,6.21
69,2000-01-01,Turkey,2.4699999999999998
70,2000-01-01,Turkey,2.4699999999999998
71,2000-01-01,Turkey,2.4699999999999998
72,2000-01-01,Tunisia,2.3
73,2000-01-01,Tunisia,2.3
74,2000-01-01,Tunisia,2.3
75,2000-01-01,Trinidad and Tobago,2.8899999999999997
76,2000-01-01,Trinidad and Tobago,2.8899999999999997
77,2000-01-01,Trinidad and Tobago,2.8899999999999997
78,2000-01-01,"Total, all countries or areas",4.91
79,2000-01-01,"Total, all countries or areas",4.91
80,2000-01-01,"Total, all countries or areas",4.91
81,2000-01-01,Tonga,2.35
82,2000-01-01,Tonga,2.35
83,2000-01-01,Tonga,2.35
84,2000-01-01,Tokelau,
85,2000-01-01,Tokelau,
86,2000-01-01,Tokelau,
87,2000-01-01,Togo,7.7299999999999995
88,2000-01-01,Togo,7.7299999999999995
89,2000-01-01,Togo,7.7299999999999995
90,2000-01-01,Timor-Leste,6.4
91,2000-01-01,Timor-Leste,6.4
92,2000-01-01,Timor-Leste,6.4
93,2000-01-01,Thailand,1.67
94,2000-01-01,Thailand,1.67
95,2000-01-01,Thailand,1.67
96,2000-01-01,Tajikistan,6.29
97,2000-01-01,Tajikistan,6.29
98,2000-01-01,Tajikistan,6.29
99,2000-01-01,TFYR of Macedonia,1.29
100,2000-01-01,TFYR of Macedonia,1.29
101,2000-01-01,TFYR of Macedonia,1.29
102,2000-01-01,Syrian Arab Republic,1.77
103,2000-01-01,Syrian Arab Republic,1.77
104,2000-01-01,Syrian Arab Republic,1.77
105,2000-01-01,Switzerland,0.45999999999999996
106,2000-01-01,Switzerland,0.45999999999999996
107,2000-01-01,Switzerland,0.45999999999999996
108,2000-01-01,Sweden,0.32
109,2000-01-01,Sweden,0.32
110,2000-01-01,Sweden,0.32
111,2000-01-01,Swaziland,8.66
112,2000-01-01,Swaziland,8.66
113,2000-01-01,Swaziland,8.66
114,2000-01-01,Suriname,2.42
115,2000-01-01,Suriname,2.42
116,2000-01-01,Suriname,2.42
117,2000-01-01,Sudan,6.18
118,2000-01-01,Sudan,6.18
119,2000-01-01,Sudan,6.18
120,2000-01-01,Sub-Saharan Africa,8.73
121,2000-01-01,Sub-Saharan Africa,8.73
122,2000-01-01,Sub-Saharan Africa,8.73
123,2000-01-01,State of Palestine,2.4899999999999998
124,2000-01-01,State of Palestine,2.4899999999999998
125,2000-01-01,State of Palestine,2.4899999999999998
126,2000-01-01,Sri Lanka,1.31
127,2000-01-01,Sri Lanka,1.31
128,2000-01-01,Sri Lanka,1.31
129,2000-01-01,Spain,0.4
130,2000-01-01,Spain,0.4
131,2000-01-01,Spain,0.4
132,2000-01-01,Southern Europe,0.58
133,2000-01-01,Southern Europe,0.58
134,2000-01-01,Southern Europe,0.58
135,2000-01-01,Southern Asia,6.14
136,2000-01-01,Southern Asia,6.14
137,2000-01-01,Southern Asia,6.14
138,2000-01-01,Southern Africa,6.24
139,2000-01-01,Southern Africa,6.24
140,2000-01-01,Southern Africa,6.24
141,2000-01-01,South-eastern Asia,3.41
142,2000-01-01,South-eastern Asia,3.41
143,2000-01-01,South-eastern Asia,3.41
144,2000-01-01,South-central Asia,6.1
145,2000-01-01,South-central Asia,6.1
146,2000-01-01,South-central Asia,6.1
147,2000-01-01,South Sudan,10.14
148,2000-01-01,South Sudan,10.14
149,2000-01-01,South Sudan,10.14
150,2000-01-01,South America,2.55
151,2000-01-01,South America,2.55
152,2000-01-01,South America,2.55
153,2000-01-01,South Africa,6.05
154,2000-01-01,South Africa,6.05
155,2000-01-01,South Africa,6.05
156,2000-01-01,Somalia,9.7
157,2000-01-01,Somalia,9.7
158,2000-01-01,Somalia,9.7
159,2000-01-01,Solomon Islands,4.99
160,2000-01-01,Solomon Islands,4.99
161,2000-01-01,Solomon Islands,4.99
162,2000-01-01,Slovenia,0.4
163,2000-01-01,Slovenia,0.4
164,2000-01-01,Slovenia,0.4
165,2000-01-01,Slovakia,0.73
166,2000-01-01,Slovakia,0.73
167,2000-01-01,Slovakia,0.73
168,2000-01-01,Sint Maarten (Dutch part),
169,2000-01-01,Sint Maarten (Dutch part),
170,2000-01-01,Sint Maarten (Dutch part),
171,2000-01-01,Singapore,0.25
172,2000-01-01,Singapore,0.25
173,2000-01-01,Singapore,0.25
174,2000-01-01,Sierra Leone,13.49
175,2000-01-01,Sierra Leone,13.49
176,2000-01-01,Sierra Leone,13.49
177,2000-01-01,Seychelles,1.06
178,2000-01-01,Seychelles,1.06
179,2000-01-01,Seychelles,1.06
180,2000-01-01,Serbia,1.41
181,2000-01-01,Serbia,1.41
182,2000-01-01,Serbia,1.41
183,2000-01-01,Senegal,6.11
184,2000-01-01,Senegal,6.11
185,2000-01-01,Senegal,6.11
186,2000-01-01,Saudi Arabia,1.75
187,2000-01-01,Saudi Arabia,1.75
188,2000-01-01,Saudi Arabia,1.75
189,2000-01-01,Sao Tome and Principe,5.18
190,2000-01-01,Sao Tome and Principe,5.18
191,2000-01-01,Sao Tome and Principe,5.18
192,2000-01-01,San Marino,
193,2000-01-01,San Marino,
194,2000-01-01,San Marino,
195,2000-01-01,Samoa,2.57
196,2000-01-01,Samoa,2.57
197,2000-01-01,Samoa,2.57
198,2000-01-01,Saint Vincent & Grenadines,2.12
199,2000-01-01,Saint Vincent & Grenadines,2.12
200,2000-01-01,Saint Vincent & Grenadines,2.12
201,2000-01-01,Saint Pierre and Miquelon,
202,2000-01-01,Saint Pierre and Miquelon,
203,2000-01-01,Saint Pierre and Miquelon,
204,2000-01-01,Saint Lucia,1.42
205,2000-01-01,Saint Lucia,1.42
206,2000-01-01,Saint Lucia,1.42
207,2000-01-01,Saint Kitts and Nevis,
208,2000-01-01,Saint Kitts and Nevis,
209,2000-01-01,Saint Kitts and Nevis,
210,2000-01-01,Saint Helena,
211,2000-01-01,Saint Helena,
212,2000-01-01,Saint Helena,
213,2000-01-01,Réunion,0.76
214,2000-01-01,Réunion,0.76
215,2000-01-01,Réunion,0.76
216,2000-01-01,Rwanda,9.07
217,2000-01-01,Rwanda,9.07
218,2000-01-01,Rwanda,9.07
219,2000-01-01,Russian Federation,1.6199999999999999
220,2000-01-01,Russian Federation,1.6199999999999999
221,2000-01-01,Russian Federation,1.6199999999999999
222,2000-01-01,Romania,1.69
223,2000-01-01,Romania,1.69
224,2000-01-01,Romania,1.69
225,2000-01-01,Republic of Moldova,1.89
226,2000-01-01,Republic of Moldova,1.89
227,2000-01-01,Republic of Moldova,1.89
228,2000-01-01,Republic of Korea,0.5
229,2000-01-01,Republic of Korea,0.5
230,2000-01-01,Republic of Korea,0.5
231,2000-01-01,Qatar,0.9400000000000001
232,2000-01-01,Qatar,0.9400000000000001
233,2000-01-01,Qatar,0.9400000000000001
234,2000-01-01,Puerto Rico,0.8
235,2000-01-01,Puerto Rico,0.8
236,2000-01-01,Puerto Rico,0.8
237,2000-01-01,Portugal,0.45
238,2000-01-01,Portugal,0.45
239,2000-01-01,Portugal,0.45
240,2000-01-01,Polynesia,1.9899999999999998
241,2000-01-01,Polynesia,1.9899999999999998
242,2000-01-01,Polynesia,1.9899999999999998
243,2000-01-01,Poland,0.71
244,2000-01-01,Poland,0.71
245,2000-01-01,Poland,0.71
246,2000-01-01,Philippines,2.81
247,2000-01-01,Philippines,2.81
248,2000-01-01,Philippines,2.81
249,2000-01-01,Peru,2.7399999999999998
250,2000-01-01,Peru,2.7399999999999998
251,2000-01-01,Peru,2.7399999999999998
252,2000-01-01,Paraguay,3.55
253,2000-01-01,Paraguay,3.55
254,2000-01-01,Paraguay,3.55
255,2000-01-01,Papua New Guinea,5.55
256,2000-01-01,Papua New Guinea,5.55
257,2000-01-01,Papua New Guinea,5.55
258,2000-01-01,Panama,1.98
259,2000-01-01,Panama,1.98
260,2000-01-01,Panama,1.98
261,2000-01-01,Palau,
262,2000-01-01,Palau,
263,2000-01-01,Palau,
264,2000-01-01,Pakistan,8.4
265,2000-01-01,Pakistan,8.4
266,2000-01-01,Pakistan,8.4
267,2000-01-01,Other non-specified areas,0.61
268,2000-01-01,Other non-specified areas,0.61
269,2000-01-01,Other non-specified areas,0.61
270,2000-01-01,Oman,1.46
271,2000-01-01,Oman,1.46
272,2000-01-01,Oman,1.46
273,2000-01-01,Oceania,2.52
274,2000-01-01,Oceania,2.52
275,2000-01-01,Oceania,2.52
276,2000-01-01,Norway,0.35
277,2000-01-01,Norway,0.35
278,2000-01-01,Norway,0.35
279,2000-01-01,Northern Mariana Islands,
280,2000-01-01,Northern Mariana Islands,
281,2000-01-01,Northern Mariana Islands,
282,2000-01-01,Northern Europe,0.5
283,2000-01-01,Northern Europe,0.5
284,2000-01-01,Northern Europe,0.5
285,2000-01-01,Northern America,0.6900000000000001
286,2000-01-01,Northern America,0.6900000000000001
