,Time
0,2000-01-01
1,2000-01-01
2,2000-01-01
3,2000-01-01
4,2000-01-01
5,2000-01-01
6,2000-01-01
7,2000-01-01
8,2000-01-01
9,2000-01-01
10,2000-01-01
11,2000-01-01
12,2000-01-01
13,2000-01-01
14,2000-01-01
15,2000-01-01
16,2000-01-01
17,2000-01-01
18,2000-01-01
19,2000-01-01
20,2000-01-01
21,2000-01-01
22,2000-01-01
23,2000-01-01
24,2000-01-01
25,2000-01-01
26,2000-01-01
27,2000-01-01
28,2000-01-01
29,2000-01-01
30,2000-01-01
31,2000-01-01
32,2000-01-01
33,2000-01-01
34,2000-01-01
35,2000-01-01
36,2000-01-01
37,2000-01-01
38,2000-01-01
39,2000-01-01
40,2000-01-01
41,2000-01-01
42,2000-01-01
43,2000-01-01
44,2000-01-01
45,2000-01-01
46,2000-01-01
47,2000-01-01
48,2000-01-01
49,2000-01-01
50,2000-01-01
51,2000-01-01
52,2000-01-01
53,2000-01-01
54,2000-01-01
55,2000-01-01
56,2000-01-01
57,2000-01-01
58,2000-01-01
59,2000-01-01
60,2000-01-01
61,2000-01-01
62,2000-01-01
63,2000-01-01
64,2000-01-01
65,2000-01-01
66,2000-01-01
67,2000-01-01
68,2000-01-01
69,2000-01-01
70,2000-01-01
71,2000-01-01
72,2000-01-01
73,2000-01-01
74,2000-01-01
75,2000-01-01
76,2000-01-01
77,2000-01-01
78,2000-01-01
79,2000-01-01
80,2000-01-01
81,2000-01-01
82,2000-01-01
83,2000-01-01
84,2000-01-01
85,2000-01-01
86,2000-01-01
87,2000-01-01
88,2000-01-01
89,2000-01-01
90,2000-01-01
91,2000-01-01
92,2000-01-01
93,2000-01-01
94,2000-01-01
95,2000-01-01
96,2000-01-01
97,2000-01-01
98,2000-01-01
99,2000-01-01
100,2000-01-01
101,2000-01-01
102,2000-01-01
103,2000-01-01
104,2000-01-01
105,2000-01-01
106,2000-01-01
107,2000-01-01
108,2000-01-01
109,2000-01-01
110,2000-01-01
111,2000-01-01
112,2000-01-01
113,2000-01-01
114,2000-01-01
115,2000-01-01
116,2000-01-01
117,2000-01-01
118,2000-01-01
119,2000-01-01
120,2000-01-01
121,2000-01-01
122,2000-01-01
123,2000-01-01
124,2000-01-01
125,2000-01-01
126,2000-01-01
127,2000-01-01
128,2000-01-01
129,2000-01-01
130,2000-01-01
131,2000-01-01
132,2000-01-01
133,2000-01-01
134,2000-01-01
135,2000-01-01
136,2000-01-01
137,2000-01-01
138,2000-01-01
139,2000-01-01
140,2000-01-01
141,2000-01-01
142,2000-01-01
143,2000-01-01
144,2000-01-01
145,2000-01-01
146,2000-01-01
147,2000-01-01
148,2000-01-01
149,2000-01-01
150,2000-01-01
151,2000-01-01
152,2000-01-01
153,2000-01-01
154,2000-01-01
155,2000-01-01
156,2000-01-01
157,2000-01-01
158,2000-01-01
159,2000-01-01
160,2000-01-01
161,2000-01-01
162,2000-01-01
163,2000-01-01
164,2000-01-01
165,2000-01-01
166,2000-01-01
167,2000-01-01
168,2000-01-01
169,2000-01-01
170,2000-01-01
171,2000-01-01
172,2000-01-01
173,2000-01-01
174,2000-01-01
175,2000-01-01
176,2000-01-01
177,2000-01-01
178,2000-01-01
179,2000-01-01
180,2000-01-01
181,2000-01-01
182,2000-01-01
183,2000-01-01
184,2000-01-01
185,2000-01-01
186,2000-01-01
187,2000-01-01
188,2000-01-01
189,2000-01-01
190,2000-01-01
191,2000-01-01
192,2000-01-01
193,2000-01-01
194,2000-01-01
195,2000-01-01
196,2000-01-01
197,2000-01-01
198,2000-01-01
199,2000-01-01
200,2000-01-01
201,2000-01-01
202,2000-01-01
