,Time,Name,Fertility rate
0,2000-01-01,Algeria,2.4
1,2000-01-01,Sub-Saharan Africa,5.6
2,2000-01-01,Sudan,5.3
3,2000-01-01,Suriname,2.8
4,2000-01-01,Swaziland,4.0
5,2000-01-01,Sweden,1.7
6,2000-01-01,Switzerland,1.4
7,2000-01-01,Syrian Arab Republic,3.8
8,2000-01-01,TFYR of Macedonia,1.6
9,2000-01-01,Tajikistan,3.6
10,2000-01-01,Thailand,1.6
11,2000-01-01,Timor-Leste,7.0
12,2000-01-01,Togo,5.3
13,2000-01-01,Costa Rica,2.2
14,2000-01-01,Tonga,4.2
15,2000-01-01,"Total, all countries or areas",2.6
16,2000-01-01,Trinidad and Tobago,1.8
17,2000-01-01,Tunisia,2.0
18,2000-01-01,Turkey,2.4
19,2000-01-01,Turkmenistan,2.8
20,2000-01-01,State of Palestine,5.0
21,2000-01-01,Sri Lanka,2.3
22,2000-01-01,Spain,1.3
23,2000-01-01,Southern Asia,3.2
24,2000-01-01,Rwanda,5.4
25,2000-01-01,Czechia,1.2
26,2000-01-01,Cyprus,1.6
27,2000-01-01,Saint Lucia,1.9
28,2000-01-01,Saint Vincent & Grenadines,2.2
29,2000-01-01,Samoa,4.4
30,2000-01-01,Cuba,1.6
31,2000-01-01,Sao Tome and Principe,5.1
32,2000-01-01,Saudi Arabia,3.7
33,2000-01-01,Congo,5.1
34,2000-01-01,Senegal,5.3
35,2000-01-01,Sierra Leone,6.1
36,2000-01-01,Singapore,1.3
37,2000-01-01,Croatia,1.4
38,2000-01-01,Slovenia,1.2
39,2000-01-01,Solomon Islands,4.6
40,2000-01-01,Somalia,7.5
41,2000-01-01,South Africa,2.8
42,2000-01-01,South Sudan,6.0
43,2000-01-01,South-eastern Asia,2.5
44,2000-01-01,Serbia,1.7
45,2000-01-01,Comoros,5.2
46,2000-01-01,Uganda,6.7
47,2000-01-01,Ukraine,1.1
48,2000-01-01,Bahrain,2.7
49,2000-01-01,Bangladesh,2.9
50,2000-01-01,Barbados,1.8
51,2000-01-01,Belarus,1.3
52,2000-01-01,Belgium,1.7
53,2000-01-01,Belize,3.4
54,2000-01-01,Benin,5.8
55,2000-01-01,Chile,2.0
56,2000-01-01,Bhutan,3.1
57,2000-01-01,Bahamas,1.9
58,2000-01-01,Bolivia (Plurin. State of),3.8
59,2000-01-01,Botswana,3.2
60,2000-01-01,Brazil,2.1
61,2000-01-01,Chad,7.2
62,2000-01-01,Brunei Darussalam,2.0
63,2000-01-01,Bulgaria,1.2
64,2000-01-01,Burkina Faso,6.4
65,2000-01-01,Burundi,6.9
66,2000-01-01,Cabo Verde,3.4
