,Time,Name
0,2000-01-01,Algeria
1,2000-01-01,Sub-Saharan Africa
2,2000-01-01,Sudan
3,2000-01-01,Suriname
4,2000-01-01,Swaziland
5,2000-01-01,Sweden
6,2000-01-01,Switzerland
7,2000-01-01,Syrian Arab Republic
8,2000-01-01,TFYR of Macedonia
9,2000-01-01,Tajikistan
10,2000-01-01,Thailand
11,2000-01-01,Timor-Leste
12,2000-01-01,Togo
13,2000-01-01,Costa Rica
14,2000-01-01,Tonga
15,2000-01-01,"Total, all countries or areas"
16,2000-01-01,Trinidad and Tobago
17,2000-01-01,Tunisia
18,2000-01-01,Turkey
19,2000-01-01,Turkmenistan
20,2000-01-01,State of Palestine
21,2000-01-01,Sri Lanka
22,2000-01-01,Spain
23,2000-01-01,Southern Asia
24,2000-01-01,Rwanda
25,2000-01-01,Czechia
26,2000-01-01,Cyprus
27,2000-01-01,Saint Lucia
28,2000-01-01,Saint Vincent & Grenadines
29,2000-01-01,Samoa
30,2000-01-01,Cuba
31,2000-01-01,Sao Tome and Principe
32,2000-01-01,Saudi Arabia
33,2000-01-01,Congo
34,2000-01-01,Senegal
35,2000-01-01,Sierra Leone
36,2000-01-01,Singapore
37,2000-01-01,Croatia
38,2000-01-01,Slovenia
39,2000-01-01,Solomon Islands
40,2000-01-01,Somalia
41,2000-01-01,South Africa
42,2000-01-01,South Sudan
43,2000-01-01,South-eastern Asia
44,2000-01-01,Serbia
45,2000-01-01,Comoros
46,2000-01-01,Uganda
47,2000-01-01,Ukraine
48,2000-01-01,Bahrain
49,2000-01-01,Bangladesh
50,2000-01-01,Barbados
51,2000-01-01,Belarus
52,2000-01-01,Belgium
53,2000-01-01,Belize
54,2000-01-01,Benin
55,2000-01-01,Chile
56,2000-01-01,Bhutan
57,2000-01-01,Bahamas
58,2000-01-01,Bolivia (Plurin. State of)
59,2000-01-01,Botswana
60,2000-01-01,Brazil
61,2000-01-01,Chad
62,2000-01-01,Brunei Darussalam
63,2000-01-01,Bulgaria
64,2000-01-01,Burkina Faso
65,2000-01-01,Burundi
66,2000-01-01,Cabo Verde
67,2000-01-01,Cambodia
68,2000-01-01,Bosnia and Herzegovina
69,2000-01-01,Russian Federation
70,2000-01-01,Azerbaijan
71,2000-01-01,Australia
72,2000-01-01,United Arab Emirates
73,2000-01-01,United Kingdom
74,2000-01-01,United Rep. of Tanzania
75,2000-01-01,United States of America
76,2000-01-01,Uzbekistan
77,2000-01-01,Vanuatu
78,2000-01-01,Venezuela (Boliv. Rep. of)
79,2000-01-01,Viet Nam
80,2000-01-01,Colombia
81,2000-01-01,Austria
82,2000-01-01,Western Asia
83,2000-01-01,Zambia
84,2000-01-01,Zimbabwe
85,2000-01-01,Afghanistan
86,2000-01-01,Albania
87,2000-01-01,Algeria
88,2000-01-01,Angola
89,2000-01-01,China
90,2000-01-01,Argentina
91,2000-01-01,Armenia
92,2000-01-01,Yemen
93,2000-01-01,Cameroon
94,2000-01-01,Romania
95,2000-01-01,Republic of Korea
96,2000-01-01,Iceland
97,2000-01-01,India
98,2000-01-01,Indonesia
99,2000-01-01,Iran (Islamic Republic of)
100,2000-01-01,Iraq
101,2000-01-01,Ireland
102,2000-01-01,Eastern Asia
103,2000-01-01,Israel
104,2000-01-01,Italy
105,2000-01-01,Japan
106,2000-01-01,Jordan
107,2000-01-01,Kazakhstan
108,2000-01-01,Kenya
109,2000-01-01,Kiribati
110,2000-01-01,Kuwait
111,2000-01-01,Kyrgyzstan
112,2000-01-01,Lao People's Dem. Rep.
113,2000-01-01,Latin America & the Caribbean
114,2000-01-01,Latvia
115,2000-01-01,Hungary
116,2000-01-01,Honduras
117,2000-01-01,Haiti
118,2000-01-01,Guyana
119,2000-01-01,Equatorial Guinea
120,2000-01-01,Eritrea
121,2000-01-01,Estonia
122,2000-01-01,Ethiopia
123,2000-01-01,Equatorial Guinea
124,2000-01-01,El Salvador
125,2000-01-01,Fiji
126,2000-01-01,Finland
127,2000-01-01,France
128,2000-01-01,Lebanon
129,2000-01-01,Gabon
130,2000-01-01,Georgia
131,2000-01-01,Ghana
132,2000-01-01,Egypt
133,2000-01-01,Greece
134,2000-01-01,Ecuador
135,2000-01-01,Grenada
136,2000-01-01,Guatemala
137,2000-01-01,Guinea
138,2000-01-01,Guinea-Bissau
139,2000-01-01,Gambia
140,2000-01-01,Lesotho
141,2000-01-01,Liberia
142,2000-01-01,Libya
143,2000-01-01,New Zealand
144,2000-01-01,Nicaragua
145,2000-01-01,Niger
146,2000-01-01,Nigeria
147,2000-01-01,Dem. People's Rep. Korea
148,2000-01-01,Northern Africa
149,2000-01-01,Côte d'Ivoire
150,2000-01-01,Norway
151,2000-01-01,Oman
152,2000-01-01,Netherlands
153,2000-01-01,Pakistan
154,2000-01-01,Panama
155,2000-01-01,Papua New Guinea
156,2000-01-01,Paraguay
157,2000-01-01,Peru
158,2000-01-01,Philippines
159,2000-01-01,Poland
160,2000-01-01,Portugal
