,Infant mortality (%),Name,
0,2.1100000000000003,Albania,-0.3
1,2.1100000000000003,Albania,-0.3
2,0.39,Czechia,-0.1
3,0.65,Croatia,-0.2
4,1.27,Bulgaria,-0.8
5,0.9,Bosnia and Herzegovina,-0.3
6,0.96,Belarus,-0.6
7,2.7,Armenia,-0.6
8,2.1100000000000003,Albania,-0.3
9,1.48,Ukraine,-0.8
10,1.41,Serbia,-0.6
11,1.6199999999999999,Russian Federation,-0.4
12,1.69,Romania,-0.6
13,1.89,Republic of Moldova,-0.2
14,0.8,Puerto Rico,-0.2
15,0.71,Poland,-0.1
16,0.99,Latvia,-1.1
17,3.79,Micronesia (Fed. States of),-0.2
18,0.77,Lithuania,-0.9
19,0.99,Latvia,-1.1
20,0.74,Hungary,-0.3
21,3.65,Guyana,-0.1
22,0.37,Germany,-0.2
23,2.9,Georgia,-1.0
24,0.73,Estonia,-0.6
25,2.9,Georgia,-1.0
26,0.37,Germany,-0.2
27,3.65,Guyana,-0.1
28,0.74,Hungary,-0.3
29,3.65,Guyana,-0.1
30,0.37,Germany,-0.2
31,2.9,Georgia,-1.0
32,0.73,Estonia,-0.6
33,0.39,Czechia,-0.1
34,0.65,Croatia,-0.2
35,1.27,Bulgaria,-0.8
36,0.9,Bosnia and Herzegovina,-0.3
37,0.96,Belarus,-0.6
38,2.7,Armenia,-0.6
39,2.1100000000000003,Albania,-0.3
40,1.48,Ukraine,-0.8
41,1.41,Serbia,-0.6
42,1.6199999999999999,Russian Federation,-0.4
43,1.69,Romania,-0.6
44,1.89,Republic of Moldova,-0.2
45,0.8,Puerto Rico,-0.2
46,0.71,Poland,-0.1
47,3.79,Micronesia (Fed. States of),-0.2
48,0.77,Lithuania,-0.9
49,0.99,Latvia,-1.1
50,0.74,Hungary,-0.3
51,0.73,Estonia,-0.6
52,0.39,Czechia,-0.1
53,2.1100000000000003,Albania,-0.3
54,0.77,Lithuania,-0.9
55,1.41,Serbia,-0.6
56,0.39,Czechia,-0.1
57,1.6199999999999999,Russian Federation,-0.4
58,1.69,Romania,-0.6
59,0.73,Estonia,-0.6
60,1.89,Republic of Moldova,-0.2
61,1.48,Ukraine,-0.8
62,2.9,Georgia,-1.0
63,0.37,Germany,-0.2
64,0.71,Poland,-0.1
65,3.65,Guyana,-0.1
66,0.74,Hungary,-0.3
67,0.99,Latvia,-1.1
68,0.65,Croatia,-0.2
69,0.8,Puerto Rico,-0.2
70,0.65,Croatia,-0.2
71,3.79,Micronesia (Fed. States of),-0.2
72,1.27,Bulgaria,-0.8
73,0.9,Bosnia and Herzegovina,-0.3
74,0.96,Belarus,-0.6
75,2.7,Armenia,-0.6
76,2.7,Armenia,-0.6
77,2.1100000000000003,Albania,-0.3
78,0.96,Belarus,-0.6
79,2.7,Armenia,-0.6
80,0.96,Belarus,-0.6
81,1.27,Bulgaria,-0.8
82,1.27,Bulgaria,-0.8
83,0.9,Bosnia and Herzegovina,-0.3
84,0.9,Bosnia and Herzegovina,-0.3
85,0.76,Martinique,-0.1
86,0.76,Martinique,-0.1
87,1.16,United States Virgin Islands,-0.2
88,1.47,Curaçao,-0.4
89,1.3800000000000001,Eastern Europe,-0.4
90,1.3800000000000001,Eastern Europe,-0.4
91,1.3800000000000001,Eastern Europe,-0.4
92,1.47,Curaçao,-0.4
93,1.47,Curaçao,-0.4
94,0.76,Martinique,-0.1
95,1.16,United States Virgin Islands,-0.2
96,1.16,United States Virgin Islands,-0.2
97,1.3800000000000001,Eastern Europe,-0.4
98,1.47,Curaçao,-0.4
99,,Bermuda,-0.4
100,,Bermuda,-0.4
101,,Bermuda,-0.4
102,,Bermuda,-0.4
103,,Bermuda,-0.4
104,,Greenland,-0.1
105,,Greenland,-0.1
106,,Greenland,-0.1
107,,Greenland,-0.1
108,,Northern Mariana Islands,-1.6
109,,Northern Mariana Islands,-1.6
110,,Northern Mariana Islands,-1.6
111,,Wallis and Futuna Islands,-1.6
112,,Montserrat,-0.7
113,,American Samoa,-1.2
114,,American Samoa,-1.2
115,,Montserrat,-0.7
116,,Falkland Islands (Malvinas),-0.6
117,,Falkland Islands (Malvinas),-0.6
118,,Cook Islands,-1.2
119,,American Samoa,-1.2
120,,Cook Islands,-1.2
121,,American Samoa,-1.2
122,,Tokelau,-5.0
123,,Wallis and Futuna Islands,-1.6
124,,Cook Islands,-1.2
125,,Falkland Islands (Malvinas),-0.6
126,,Nauru,-0.2
127,,Niue,-2.4
128,,American Samoa,-1.2
129,,Wallis and Futuna Islands,-1.6
130,,Montserrat,-0.7
131,,Nauru,-0.2
132,,Nauru,-0.2
133,,Falkland Islands (Malvinas),-0.6
134,,Tokelau,-5.0
135,,Saint Helena,-3.6
136,,Saint Helena,-3.6
137,,Tokelau,-5.0
138,,Saint Helena,-3.6
139,,Cook Islands,-1.2
140,,Niue,-2.4
141,,Niue,-2.4
