,Time,Name,Population growth (%),Life expectancy (years)
0,2005-01-01,Albania,-0.3,74.8
1,2005-01-01,Albania,-0.3,74.8
2,2005-01-01,Hungary,-0.3,72.5
3,2015-01-01,Greece,-0.4,80.6
4,2010-01-01,Germany,-0.2,79.7
5,2005-01-01,Georgia,-1.0,72.6
6,2005-01-01,Estonia,-0.6,71.6
7,2005-01-01,Czechia,-0.1,75.5
8,2005-01-01,Croatia,-0.2,74.9
9,2005-01-01,Bulgaria,-0.8,72.2
10,2010-01-01,Bosnia and Herzegovina,-0.3,75.5
11,2005-01-01,Armenia,-0.6,72.4
12,2005-01-01,Albania,-0.3,74.8
13,2015-01-01,Ukraine,-0.5,71.1
14,2015-01-01,Spain,-0.2,82.5
15,2005-01-01,Serbia,-0.6,72.4
16,2005-01-01,Romania,-0.6,71.5
17,2015-01-01,Republic of Moldova,-0.1,71.0
18,2005-01-01,Latvia,-1.1,70.8
19,2015-01-01,Portugal,-0.4,80.5
20,2005-01-01,Poland,-0.1,74.6
21,2005-01-01,Lithuania,-0.9,71.6
22,2015-01-01,Italy,-0.1,82.3
23,2015-01-01,Japan,-0.1,83.3
24,2005-01-01,Latvia,-1.1,70.8
25,2005-01-01,Lithuania,-0.9,71.6
26,2015-01-01,Japan,-0.1,83.3
27,2015-01-01,Italy,-0.1,82.3
28,2005-01-01,Hungary,-0.3,72.5
29,2015-01-01,Greece,-0.4,80.6
30,2010-01-01,Germany,-0.2,79.7
31,2005-01-01,Georgia,-1.0,72.6
32,2005-01-01,Estonia,-0.6,71.6
33,2005-01-01,Czechia,-0.1,75.5
34,2005-01-01,Croatia,-0.2,74.9
35,2005-01-01,Bulgaria,-0.8,72.2
36,2010-01-01,Bosnia and Herzegovina,-0.3,75.5
37,2005-01-01,Armenia,-0.6,72.4
38,2005-01-01,Albania,-0.3,74.8
39,2015-01-01,Ukraine,-0.5,71.1
40,2015-01-01,Spain,-0.2,82.5
41,2005-01-01,Serbia,-0.6,72.4
42,2005-01-01,Romania,-0.6,71.5
43,2015-01-01,Republic of Moldova,-0.1,71.0
44,2005-01-01,Puerto Rico,-0.2,76.8
45,2015-01-01,Portugal,-0.4,80.5
46,2005-01-01,Poland,-0.1,74.6
47,2005-01-01,Latvia,-1.1,70.8
48,2015-01-01,Japan,-0.1,83.3
49,2005-01-01,Puerto Rico,-0.2,76.8
50,2005-01-01,Hungary,-0.3,72.5
51,2005-01-01,Puerto Rico,-0.2,76.8
52,2015-01-01,Portugal,-0.4,80.5
53,2005-01-01,Poland,-0.1,74.6
54,2015-01-01,Italy,-0.1,82.3
55,2005-01-01,Lithuania,-0.9,71.6
56,2005-01-01,Latvia,-1.1,70.8
57,2015-01-01,Japan,-0.1,83.3
58,2015-01-01,Italy,-0.1,82.3
59,2005-01-01,Hungary,-0.3,72.5
60,2015-01-01,Greece,-0.4,80.6
61,2010-01-01,Germany,-0.2,79.7
62,2005-01-01,Georgia,-1.0,72.6
63,2005-01-01,Estonia,-0.6,71.6
64,2005-01-01,Czechia,-0.1,75.5
65,2005-01-01,Croatia,-0.2,74.9
66,2005-01-01,Bulgaria,-0.8,72.2
67,2010-01-01,Bosnia and Herzegovina,-0.3,75.5
68,2005-01-01,Armenia,-0.6,72.4
69,2005-01-01,Bulgaria,-0.8,72.2
70,2010-01-01,Bosnia and Herzegovina,-0.3,75.5
71,2005-01-01,Armenia,-0.6,72.4
72,2015-01-01,Republic of Moldova,-0.1,71.0
73,2005-01-01,Romania,-0.6,71.5
74,2005-01-01,Albania,-0.3,74.8
75,2005-01-01,Armenia,-0.6,72.4
76,2015-01-01,Spain,-0.2,82.5
77,2015-01-01,Greece,-0.4,80.6
78,2015-01-01,Ukraine,-0.5,71.1
79,2005-01-01,Serbia,-0.6,72.4
80,2010-01-01,Germany,-0.2,79.7
81,2005-01-01,Georgia,-1.0,72.6
82,2005-01-01,Estonia,-0.6,71.6
83,2005-01-01,Albania,-0.3,74.8
84,2005-01-01,Croatia,-0.2,74.9
85,2005-01-01,Bulgaria,-0.8,72.2
86,2005-01-01,Czechia,-0.1,75.5
87,2010-01-01,Bosnia and Herzegovina,-0.3,75.5
88,2015-01-01,Southern Europe,-0.2,81.1
89,2015-01-01,Eastern Europe,-0.1,72.2
90,2015-01-01,Eastern Europe,-0.1,72.2
91,2005-01-01,Curaçao,-0.4,75.0
92,2010-01-01,Martinique,-0.1,80.1
93,2005-01-01,Curaçao,-0.4,75.0
94,2005-01-01,Curaçao,-0.4,75.0
95,2005-01-01,United States Virgin Islands,-0.2,77.1
96,2015-01-01,Eastern Europe,-0.1,72.2
97,2015-01-01,Southern Europe,-0.2,81.1
98,2015-01-01,Southern Europe,-0.2,81.1
99,2005-01-01,United States Virgin Islands,-0.2,77.1
100,2010-01-01,Martinique,-0.1,80.1
101,2005-01-01,United States Virgin Islands,-0.2,77.1
102,2005-01-01,Curaçao,-0.4,75.0
103,2015-01-01,Eastern Europe,-0.1,72.2
104,2010-01-01,Martinique,-0.1,80.1
105,2010-01-01,Bermuda,-0.4,79.3
106,2010-01-01,Bermuda,-0.4,79.3
107,2010-01-01,Bermuda,-0.4,79.3
108,2010-01-01,Bermuda,-0.4,79.3
109,2010-01-01,Bermuda,-0.4,79.3
110,2011-01-01,Niue,,
