,Time,Name,Urban population with safe sanitation (%),Female Population
0,2015-01-01,Ecuador,34.4,8070000
1,2015-01-01,Colombia,16.0,24490000
2,2015-01-01,Peru,35.0,15700000
3,2015-01-01,Morocco,38.8,17580000
4,2015-01-01,Spain,97.4,23630000
5,2015-01-01,China,73.4,677270000
6,2015-01-01,Chile,81.3,8970000
7,2015-01-01,United Kingdom,98.9,33170000
8,2015-01-01,Ethiopia,,50010000
9,2015-01-01,Argentina,25.1,22170000
10,2015-01-01,Germany,96.8,41520000
11,2015-01-01,Sweden,93.1,4880000
12,2015-01-01,Bangladesh,,79860000
13,2015-01-01,Italy,96.2,30540000
14,2015-01-01,Turkmenistan,,2830000
15,2015-01-01,Ghana,,13860000
16,2015-01-01,Finland,97.6,2780000
17,2015-01-01,Greece,81.0,5690000
18,2015-01-01,Uganda,,20180000
19,2015-01-01,Mexico,46.4,63210000
20,2015-01-01,Iceland,70.0,160000
21,2015-01-01,Kyrgyzstan,,2960000
22,2015-01-01,Tunisia,88.7,5700000
23,2015-01-01,Iraq,34.9,17840000
24,2015-01-01,Algeria,16.9,19740000
25,2015-01-01,Pakistan,,92090000
26,2015-01-01,Belarus,77.7,5070000
27,2015-01-01,Niger,24.0,9930000
28,2015-01-01,Somalia,24.3,6980000
29,2015-01-01,Brazil,40.4,104680000
30,2015-01-01,Nicaragua,,3080000
31,2015-01-01,Cambodia,,7950000
32,2015-01-01,Uruguay,64.4,1780000
33,2015-01-01,Nepal,,14750000
34,2015-01-01,Senegal,24.0,7630000
35,2015-01-01,Bulgaria,50.6,3690000
36,2015-01-01,Iran (Islamic Republic of),,39420000
37,2015-01-01,New Zealand,,2350000
38,2015-01-01,Malaysia,,14850000
39,2015-01-01,Norway,,2580000
40,2015-01-01,Romania,,10240000
41,2015-01-01,Poland,90.7,19780000
42,2015-01-01,India,,630490000
43,2015-01-01,Australia,,11940000
44,2015-01-01,Bolivia (Plurinational State of),22.1,5350000
45,2015-01-01,Turkey,48.0,39770000
46,2015-01-01,France,,32780000
47,2015-01-01,Egypt,69.6,46370000
48,2015-01-01,Cuba,28.2,5730000
49,2015-01-01,Yemen,67.3,13320000
50,2015-01-01,Russian Federation,,77040000
51,2015-01-01,Oman,,1480000
52,2015-01-01,Nigeria,,89410000
53,2015-01-01,Botswana,,1120000
54,2015-01-01,Uzbekistan,,15540000
55,2015-01-01,Canada,,18120000
56,2015-01-01,Saudi Arabia,,13660000
57,2015-01-01,United Rep. of Tanzania,,27250000
58,2015-01-01,Ukraine,,24020000
59,2015-01-01,Guatemala,,8260000
60,2015-01-01,Zambia,,8109999
61,2015-01-01,Honduras,14.5,4490000
62,2015-01-01,Kenya,,23760000
63,2015-01-01,Kazakhstan,67.3,9150000
64,2015-01-01,Tajikistan,,4250000
65,2015-01-01,Mozambique,,14350000
66,2015-01-01,Libya,,3090000
67,2015-01-01,Thailand,,35130000
68,2015-01-01,South Sudan,,5930000
69,2015-01-01,Suriname,,280000
70,2015-01-01,Syrian Arab Republic,,9260000
71,2015-01-01,Viet Nam,,47290000
72,2015-01-01,Afghanistan,,16350000
73,2015-01-01,Paraguay,,3270000
74,2015-01-01,Angola,,14210000
75,2015-01-01,Benin,,5310000
76,2015-01-01,Burkina Faso,,9090000
77,2015-01-01,Cameroon,,11410000
78,2015-01-01,Central African Republic,,2300000
79,2015-01-01,Chad,,7000000
80,2015-01-01,Eritrea,,2420000
81,2015-01-01,Gabon,,940000
82,2015-01-01,Guinea,,6030000
83,2015-01-01,Philippines,,50480000
84,2015-01-01,Guyana,,380000
85,2015-01-01,Liberia,,2230000
86,2015-01-01,Madagascar,,12150000
87,2015-01-01,Malawi,,8870000
88,2015-01-01,Mali,,8730000
89,2015-01-01,Mauritania,,2080000
90,2015-01-01,Mongolia,,1500000
91,2015-01-01,Myanmar,,26810000
92,2015-01-01,Namibia,,1250000
93,2015-01-01,Papua New Guinea,,3890000
94,2015-01-01,Indonesia,,128120000
95,2015-01-01,Zimbabwe,,8100000
96,2010-01-01,Congo,,2190000
97,2007-01-01,Japan,,65580000
