,Time,Name,State.Name
0,2000-01-01,Abbeville County,4581
1,2000-01-01,Acadia Parish,4558
2,2000-01-01,Accomack County,4586
3,2000-01-01,Ada County,4553
4,2000-01-01,Adair County,4576
5,2000-01-01,Adair County,4564
6,2000-01-01,Adair County,4552
7,2000-01-01,Adair County,4557
8,2000-01-01,Adams County,4568
9,2000-01-01,Adams County,4575
10,2000-01-01,Adams County,4578
11,2000-01-01,Adams County,4569
12,2000-01-01,Adams County,4589
13,2000-01-01,Adams County,4588
14,2000-01-01,Adams County,4553
15,2000-01-01,Adams County,4555
16,2000-01-01,Adams County,4554
17,2000-01-01,Adams County,4545
18,2000-01-01,Adams County,4565
19,2000-01-01,Adams County,4552
20,2000-01-01,Addison County,4587
21,2000-01-01,Aiken County,4581
22,2000-01-01,Aitkin County,4563
23,2000-01-01,Alachua County,4549
24,2000-01-01,Alamance County,4567
25,2000-01-01,Alameda County,4544
26,2000-01-01,Alamosa County,4545
27,2000-01-01,Albany County,4574
28,2000-01-01,Albany County,4591
29,2000-01-01,Albemarle County,4586
30,2000-01-01,Alcona County,4562
31,2000-01-01,Alcorn County,4565
32,2000-01-01,Aleutians East Borough,4540
33,2000-01-01,Aleutians West Census Area,4540
34,2000-01-01,Alexander County,4567
35,2000-01-01,Alexander County,4554
36,2000-01-01,Alexandria city,4586
37,2000-01-01,Alfalfa County,4576
38,2000-01-01,Alger County,4562
39,2000-01-01,Allamakee County,4552
40,2000-01-01,Allegan County,4562
41,2000-01-01,Allegany County,4574
42,2000-01-01,Allegany County,4560
43,2000-01-01,Alleghany County,4567
44,2000-01-01,Alleghany County,4586
45,2000-01-01,Allegheny County,4578
46,2000-01-01,Allen County,4575
47,2000-01-01,Allen County,4555
48,2000-01-01,Allen County,4556
49,2000-01-01,Allen County,4557
50,2000-01-01,Allen Parish,4558
51,2000-01-01,Allendale County,4581
52,2000-01-01,Alpena County,4562
53,2000-01-01,Alpine County,4544
54,2000-01-01,Amador County,4544
55,2000-01-01,Amelia County,4586
56,2000-01-01,Amherst County,4586
57,2000-01-01,Amite County,4565
58,2000-01-01,Anchorage Municipality,4540
59,2000-01-01,Anderson County,4581
60,2000-01-01,Anderson County,4584
61,2000-01-01,Anderson County,4583
62,2000-01-01,Anderson County,4556
63,2000-01-01,Anderson County,4557
64,2000-01-01,Andrew County,4564
65,2000-01-01,Andrews County,4584
66,2000-01-01,Androscoggin County,4561
67,2000-01-01,Angelina County,4584
68,2000-01-01,Anne Arundel County,4560
69,2000-01-01,Anoka County,4563
70,2000-01-01,Anson County,4567
71,2000-01-01,Antelope County,4569
72,2000-01-01,Antrim County,4562
73,2000-01-01,Apache County,4543
74,2000-01-01,Appanoose County,4552
75,2000-01-01,Appling County,4550
76,2000-01-01,Appomattox County,4586
77,2000-01-01,Aransas County,4584
78,2000-01-01,Arapahoe County,4545
79,2000-01-01,Archer County,4584
80,2000-01-01,Archuleta County,4545
81,2000-01-01,Arenac County,4562
82,2000-01-01,Arkansas County,4542
83,2000-01-01,Arlington County,4586
84,2000-01-01,Armstrong County,4578
85,2000-01-01,Armstrong County,4584
86,2000-01-01,Aroostook County,4561
87,2000-01-01,Arthur County,4569
88,2000-01-01,Ascension Parish,4558
89,2000-01-01,Ashe County,4567
90,2000-01-01,Ashland County,4575
91,2000-01-01,Ashland County,4589
92,2000-01-01,Ashley County,4542
93,2000-01-01,Ashtabula County,4575
94,2000-01-01,Asotin County,4588
95,2000-01-01,Assumption Parish,4558
96,2000-01-01,Atascosa County,4584
97,2000-01-01,Atchison County,4564
98,2000-01-01,Atchison County,4556
99,2000-01-01,Athens County,4575
100,2000-01-01,Atkinson County,4550
101,2000-01-01,Atlantic County,4571
102,2000-01-01,Atoka County,4576
103,2000-01-01,Attala County,4565
104,2000-01-01,Audrain County,4564
105,2000-01-01,Audubon County,4552
106,2000-01-01,Auglaize County,4575
107,2000-01-01,Augusta County,4586
108,2000-01-01,Aurora County,4582
109,2000-01-01,Austin County,4584
110,2000-01-01,Autauga County,4541
111,2000-01-01,Avery County,4567
112,2000-01-01,Avoyelles Parish,4558
113,2000-01-01,Baca County,4545
114,2000-01-01,Bacon County,4550
115,2000-01-01,Bailey County,4584
116,2000-01-01,Baker County,4577
117,2000-01-01,Baker County,4550
