,Time,Name,FIPS county code,State.Name
0,2000-01-01,Abbeville County,45001,South Carolina
1,2000-01-01,Acadia Parish,22001,Louisiana
2,2000-01-01,Accomack County,51001,Virginia
3,2000-01-01,Ada County,16001,Idaho
4,2000-01-01,Adair County,40001,Oklahoma
5,2000-01-01,Adair County,29001,Missouri
6,2000-01-01,Adair County,19001,Iowa
7,2000-01-01,Adair County,21001,Kentucky
8,2000-01-01,Adams County,38001,North Dakota
9,2000-01-01,Adams County,39001,Ohio
10,2000-01-01,Adams County,42001,Pennsylvania
11,2000-01-01,Adams County,31001,Nebraska
12,2000-01-01,Adams County,55001,Wisconsin
13,2000-01-01,Adams County,53001,Washington
14,2000-01-01,Adams County,16003,Idaho
15,2000-01-01,Adams County,18001,Indiana
16,2000-01-01,Adams County,17001,Illinois
17,2000-01-01,Adams County,8001,Colorado
18,2000-01-01,Adams County,28001,Mississippi
19,2000-01-01,Adams County,19003,Iowa
20,2000-01-01,Addison County,50001,Vermont
21,2000-01-01,Aiken County,45003,South Carolina
22,2000-01-01,Aitkin County,27001,Minnesota
23,2000-01-01,Alachua County,12001,Florida
24,2000-01-01,Alamance County,37001,North Carolina
25,2000-01-01,Alameda County,6001,California
26,2000-01-01,Alamosa County,8003,Colorado
27,2000-01-01,Albany County,36001,New York
28,2000-01-01,Albany County,56001,Wyoming
29,2000-01-01,Albemarle County,51003,Virginia
30,2000-01-01,Alcona County,26001,Michigan
31,2000-01-01,Alcorn County,28003,Mississippi
32,2000-01-01,Aleutians East Borough,2013,Alaska
33,2000-01-01,Aleutians West Census Area,2016,Alaska
34,2000-01-01,Alexander County,37003,North Carolina
35,2000-01-01,Alexander County,17003,Illinois
36,2000-01-01,Alexandria city,51510,Virginia
37,2000-01-01,Alfalfa County,40003,Oklahoma
38,2000-01-01,Alger County,26003,Michigan
39,2000-01-01,Allamakee County,19005,Iowa
40,2000-01-01,Allegan County,26005,Michigan
41,2000-01-01,Allegany County,36003,New York
42,2000-01-01,Allegany County,24001,Maryland
43,2000-01-01,Alleghany County,37005,North Carolina
44,2000-01-01,Alleghany County,51005,Virginia
45,2000-01-01,Allegheny County,42003,Pennsylvania
46,2000-01-01,Allen County,39003,Ohio
47,2000-01-01,Allen County,18003,Indiana
48,2000-01-01,Allen County,20001,Kansas
49,2000-01-01,Allen County,21003,Kentucky
50,2000-01-01,Allen Parish,22003,Louisiana
51,2000-01-01,Allendale County,45005,South Carolina
52,2000-01-01,Alpena County,26007,Michigan
53,2000-01-01,Alpine County,6003,California
54,2000-01-01,Amador County,6005,California
55,2000-01-01,Amelia County,51007,Virginia
56,2000-01-01,Amherst County,51009,Virginia
57,2000-01-01,Amite County,28005,Mississippi
58,2000-01-01,Anchorage Municipality,2020,Alaska
59,2000-01-01,Anderson County,45007,South Carolina
60,2000-01-01,Anderson County,48001,Texas
61,2000-01-01,Anderson County,47001,Tennessee
62,2000-01-01,Anderson County,20003,Kansas
63,2000-01-01,Anderson County,21005,Kentucky
