,Time,Name,Population,Female Population
0,2005-01-01,Israel,6600000.0,3350000.0
1,2005-01-01,Ecuador,13740000.0,6860000.0
2,2005-01-01,Colombia,43290000.0,21910000.0
3,2005-01-01,Morocco,30520000.0,15450000.0
4,2005-01-01,Peru,27610000.0,13810000.0
5,2005-01-01,Chile,16149999.0,8160000.0
6,2010-01-01,Czech Republic,10540000.0,5360000.0
7,2005-01-01,Switzerland,7410000.0,3780000.0
8,2005-01-01,Sweden,9040000.0,4560000.0
9,2005-01-01,Luxembourg,460000.0,230000.0
10,2005-01-01,Ethiopia,76730000.0,38450000.0
11,2005-01-01,China,1321620000.0,642080000.0
12,2005-01-01,United Kingdom,60290000.0,30770000.0
13,2005-01-01,Spain,44040000.0,22320000.0
14,2005-01-01,Singapore,4490000.0,2260000.0
15,2005-01-01,Bangladesh,143430000.0,70380000.0
16,2005-01-01,Austria,8250000.0,4240000.0
17,2005-01-01,Netherlands,16370000.0,8250000.0
18,2005-01-01,Argentina,39150000.0,20000000.0
19,2005-01-01,Senegal,11250000.0,5730000.0
20,2005-01-01,Ireland,4210000.0,2110000.0
21,2005-01-01,Iraq,27010000.0,13360000.0
22,2005-01-01,Portugal,10570000.0,5460000.0
23,2005-01-01,Mexico,108470000.0,54530000.0
24,2005-01-01,Cyprus,1030000.0,510000.0
25,2005-01-01,Somalia,10410000.0,5200000.0
26,2005-01-01,Iceland,300000.0,150000.0
27,2015-01-01,Slovakia,5440000.0,2800000.0
28,2005-01-01,Finland,5260000.0,2680000.0
29,2005-01-01,Ghana,21540000.0,10780000.0
30,2005-01-01,Greece,11300000.0,5710000.0
31,2005-01-01,Kyrgyzstan,5080000.0,2560000.0
32,2005-01-01,Iran (Islamic Republic of),70420000.0,34460000.0
33,2015-01-01,Germany,81710000.0,41520000.0
34,2005-01-01,Jordan,5710000.0,2770000.0
35,2005-01-01,Bosnia and Herzegovina,3780000.0,1920000.0
36,2010-01-01,Uruguay,3370000.0,1750000.0
37,2005-01-01,United Arab Emirates,4580000.0,1360000.0
38,2005-01-01,Bhutan,660000.0,310000.0
39,2005-01-01,Niger,13620000.0,6830000.0
40,2005-01-01,Uzbekistan,26510000.0,13340000.0
41,2005-01-01,Nepal,25640000.0,12920000.0
42,2005-01-01,Brazil,186920000.0,94690000.0
43,2005-01-01,Uganda,28540000.0,14410000.0
44,2005-01-01,Turkmenistan,4750000.0,2420000.0
45,2005-01-01,Nicaragua,5380000.0,2720000.0
46,2005-01-01,Algeria,33290000.0,16450000.0
47,2005-01-01,Tunisia,10100000.0,5070000.0
48,2005-01-01,Pakistan,153910000.0,74580000.0
49,2005-01-01,Cambodia,13270000.0,6830000.0
50,2005-01-01,Egypt,76780000.0,38070000.0
51,2005-01-01,Australia,20240000.0,10140000.0
52,2005-01-01,India,1144120000.0,551060000.0
53,2005-01-01,Azerbaijan,8540000.0,4330000.0
54,2005-01-01,Kuwait,2280000.0,930000.0
55,2005-01-01,Slovenia,2000000.0,1020000.0
56,2005-01-01,New Zealand,4139999.0,2110000.0
57,2005-01-01,Belgium,10550000.0,5370000.0
58,2005-01-01,Lebanon,3990000.0,1960000.0
59,2005-01-01,Japan,128340000.0,65450000.0
60,2005-01-01,Turkey,67900000.0,34480000.0
61,2005-01-01,Bolivia (Plurinational State of),9130000.0,4550000.0
62,2005-01-01,Norway,4630000.0,2330000.0
63,2005-01-01,France,61230000.0,31190000.0
64,2005-01-01,State of Palestine,3580000.0,1760000.0
65,2005-01-01,Denmark,5420000.0,2740000.0
66,2005-01-01,Republic of Korea,48710000.0,24270000.0
67,2005-01-01,Malaysia,25660000.0,12510000.0
68,2005-01-01,Cuba,11280000.0,5620000.0
69,2005-01-01,Nigeria,138940000.0,68780000.0
70,2005-01-01,Kenya,36050000.0,18140000.0
71,2005-01-01,Panama,3330000.0,1650000.0
72,2005-01-01,Zambia,12050000.0,6090000.0
73,2005-01-01,Rwanda,8990000.0,4600000.0
74,2005-01-01,Qatar,860000.0,280000.0
75,2005-01-01,Mozambique,20920000.0,10820000.0
76,2005-01-01,Saudi Arabia,23910000.0,10600000.0
77,2005-01-01,Libya,5790000.0,2810000.0
78,2005-01-01,Oman,2510000.0,1090000.0
79,2005-01-01,Congo,3720000.0,1860000.0
80,2005-01-01,Kazakhstan,15540000.0,8050000.0
81,2005-01-01,Costa Rica,4250000.0,2120000.0
82,2005-01-01,Tajikistan,6850000.0,3400000.0
83,2005-01-01,Canada,32290000.0,16280000.0
84,2005-01-01,El Salvador,6030000.0,3150000.0
85,2005-01-01,Botswana,1860000.0,940000.0
86,2005-01-01,Bahrain,890000.0,360000.0
87,2005-01-01,United Rep. of Tanzania,39410000.0,19970000.0
88,2005-01-01,Sri Lanka,19520000.0,9900000.0
89,2005-01-01,Gambia,1440000.0,730000.0
90,2005-01-01,Guatemala,13100000.0,6670000.0
91,2005-01-01,Yemen,20580000.0,10180000.0
92,2005-01-01,Honduras,7370000.0,3700000.0
93,2005-01-01,Italy,58810000.0,30200000.0
94,2005-01-01,Tonga,100000.0,50000.0
95,2005-01-01,Viet Nam,84310000.0,42790000.0
96,2005-01-01,Trinidad and Tobago,1300000.0,650000.0
97,2005-01-01,Papua New Guinea,6310000.0,3100000.0
98,2005-01-01,Vanuatu,210000.0,100000.0
99,2005-01-01,Togo,5680000.0,2860000.0
100,2005-01-01,Sierra Leone,5660000.0,2870000.0
101,2005-01-01,Timor-Leste,1030000.0,510000.0
102,2005-01-01,Philippines,86270000.0,42910000.0
103,2015-01-01,Russian Federation,143890000.0,77040000.0
104,2005-01-01,Syrian Arab Republic,18290000.0,8960000.0
105,2005-01-01,Saint Lucia,160000.0,80000.0
106,2005-01-01,Saint Vincent & Grenadines,110000.0,50000.0
107,2005-01-01,Suriname,500000.0,250000.0
108,2005-01-01,Samoa,180000.0,90000.0
109,2005-01-01,Sao Tome and Principe,160000.0,80000.0
110,2005-01-01,Solomon Islands,470000.0,230000.0
111,2005-01-01,Paraguay,5800000.0,2860000.0
112,2005-01-01,Thailand,65430000.0,33250000.0
113,2005-01-01,Zimbabwe,12940000.0,6630000.0
114,2005-01-01,Gabon,1400000.0,700000.0
115,2005-01-01,Jamaica,2740000.0,1390000.0
116,2005-01-01,Indonesia,226710000.0,112890000.0
117,2005-01-01,Haiti,9260000.0,4690000.0
118,2005-01-01,Burkina Faso,13420000.0,6800000.0
119,2005-01-01,Guinea-Bissau,1380000.0,710000.0
120,2005-01-01,Guinea,9680000.0,4840000.0
121,2005-01-01,Brunei Darussalam,370000.0,180000.0
122,2005-01-01,Grenada,100000.0,50000.0
123,2005-01-01,Fiji,820000.0,400000.0
124,2005-01-01,Cameroon,17420000.0,8720000.0
125,2005-01-01,Eritrea,3970000.0,1980000.0
126,2005-01-01,Central African Republic,4130000.0,2089999.0
127,2005-01-01,Equatorial Guinea,760000.0,360000.0
128,2005-01-01,Dominican Republic,9240000.0,4620000.0
129,2005-01-01,Cabo Verde,470000.0,240000.0
130,2005-01-01,Djibouti,780000.0,390000.0
131,2005-01-01,Kiribati,90000.0,50000.0
132,2005-01-01,Liberia,3260000.0,1630000.0
133,2005-01-01,Namibia,2029999.0,1040000.0
134,2005-01-01,Myanmar,48480000.0,24800000.0
135,2005-01-01,Angola,19550000.0,10000000.0
136,2005-01-01,Mongolia,2530000.0,1270000.0
137,2015-01-01,Armenia,2920000.0,1550000.0
138,2005-01-01,Mauritania,3130000.0,1560000.0
139,2005-01-01,Lesotho,1950000.0,1010000.0
140,2005-01-01,Bahamas,330000.0,170000.0
141,2005-01-01,Mali,12800000.0,6430000.0
142,2005-01-01,Maldives,320000.0,150000.0
143,2005-01-01,Barbados,270000.0,140000.0
144,2005-01-01,Malawi,13040000.0,6600000.0
145,2005-01-01,Madagascar,18340000.0,9210000.0
146,2005-01-01,Belize,280000.0,140000.0
147,2005-01-01,Benin,7980000.0,4030000.0
148,2005-01-01,Comoros,610000.0,300000.0
149,2005-01-01,Antigua and Barbuda,90000.0,50000.0
150,2005-01-01,Chad,10070000.0,5040000.0
151,2005-01-01,Burundi,7420000.0,3770000.0
152,2005-01-01,Afghanistan,25070000.0,12100000.0
153,2015-01-01,Guyana,770000.0,380000.0
154,2005-01-01,Seychelles,90000.0,40000.0
155,2015-01-01,Micronesia (Fed. States of),100000.0,50000.0
156,2005-01-01,Sudan,30910000.0,15410000.0
157,2005-01-01,South Sudan,8109999.0,4059999.0
158,2005-01-01,Montenegro,620000.0,310000.0
159,2005-01-01,Swaziland,,
160,2005-01-01,Andorra,80000.0,
161,2005-01-01,Tuvalu,10000.0,
162,2005-01-01,Monaco,30000.0,
163,2005-01-01,Liechtenstein,30000.0,
164,2005-01-01,Dominica,70000.0,
165,2005-01-01,Cook Islands,20000.0,
166,2005-01-01,Saint Kitts and Nevis,50000.0,
167,2010-01-01,Marshall Islands,50000.0,
168,2000-01-01,San Marino,,
169,2000-01-01,Palau,,
170,2000-01-01,Nauru,,
