,Time,Name,Population,Rural population with safe water (%)
0,2005-01-01,Cyprus,1030000,52.3
1,2005-01-01,Timor-Leste,1030000,99.4
2,2005-01-01,Eswatini,1110000,34.9
3,2015-01-01,Equatorial Guinea,1180000,25.5
4,2010-01-01,Bahrain,1240000,16.0
5,2005-01-01,Trinidad and Tobago,1300000,
6,2005-01-01,Estonia,1360000,
7,2005-01-01,Guinea-Bissau,1380000,
8,2005-01-01,Gabon,1400000,
9,2005-01-01,Gambia,1440000,
10,2010-01-01,Qatar,1780000,
11,2005-01-01,Botswana,1860000,
12,2005-01-01,Lesotho,1950000,
13,2005-01-01,Slovenia,2000000,
14,2005-01-01,Namibia,2029999,60.0
15,2005-01-01,Latvia,2250000,
16,2005-01-01,Kuwait,2280000,
17,2005-01-01,Oman,2510000,
18,2005-01-01,Mongolia,2530000,
19,2005-01-01,Jamaica,2740000,
20,2005-01-01,Armenia,2980000,0.5
21,2005-01-01,Albania,3080000,
22,2005-01-01,Mauritania,3130000,
23,2005-01-01,Liberia,3260000,
24,2005-01-01,Uruguay,3330000,2.9
25,2005-01-01,Panama,3330000,
26,2005-01-01,Lithuania,3340000,
27,2005-01-01,State of Palestine,3580000,
28,2005-01-01,Congo,3720000,
29,2005-01-01,Bosnia and Herzegovina,3780000,83.0
30,2005-01-01,Eritrea,3970000,
31,2005-01-01,Lebanon,3990000,
32,2005-01-01,Central African Republic,4130000,
33,2005-01-01,New Zealand,4139999,30.5
34,2005-01-01,Republic of Moldova,4160000,
35,2005-01-01,Ireland,4210000,31.9
36,2005-01-01,Costa Rica,4250000,
37,2005-01-01,Croatia,4380000,
38,2005-01-01,Singapore,4490000,30.1
39,2005-01-01,Georgia,4490000,
40,2005-01-01,United Arab Emirates,4580000,
41,2005-01-01,Norway,4630000,23.2
42,2005-01-01,Turkmenistan,4750000,
43,2005-01-01,Kyrgyzstan,5080000,
44,2005-01-01,Finland,5260000,12.5
45,2005-01-01,Nicaragua,5380000,
46,2005-01-01,Slovakia,5400000,
47,2005-01-01,Denmark,5420000,61.4
48,2005-01-01,Sierra Leone,5660000,
49,2005-01-01,Togo,5680000,
50,2005-01-01,Jordan,5710000,1.9
51,2005-01-01,Libya,5790000,
52,2005-01-01,Paraguay,5800000,
53,2005-01-01,El Salvador,6030000,
54,2005-01-01,Papua New Guinea,6310000,31.6
55,2005-01-01,Israel,6600000,
56,2005-01-01,Tajikistan,6850000,
57,2005-01-01,Honduras,7370000,
58,2005-01-01,Switzerland,7410000,
59,2005-01-01,Burundi,7420000,
60,2005-01-01,Bulgaria,7680000,
61,2005-01-01,Benin,7980000,
62,2005-01-01,South Sudan,8109999,
63,2005-01-01,Austria,8250000,
64,2005-01-01,Azerbaijan,8540000,
65,2005-01-01,Rwanda,8990000,
66,2005-01-01,Sweden,9040000,
67,2005-01-01,Bolivia (Plurinational State of),9130000,
68,2005-01-01,Serbia,9220000,
69,2005-01-01,Dominican Republic,9240000,
70,2005-01-01,Haiti,9260000,35.6
71,2005-01-01,Belarus,9620000,
72,2005-01-01,Guinea,9680000,
73,2005-01-01,Chad,10070000,
74,2005-01-01,Hungary,10090000,
75,2005-01-01,Tunisia,10100000,
76,2005-01-01,Czech Republic,10260000,
77,2005-01-01,Somalia,10410000,
78,2005-01-01,Belgium,10550000,
79,2005-01-01,Portugal,10570000,
80,2005-01-01,Senegal,11250000,
81,2005-01-01,Cuba,11280000,
82,2005-01-01,Greece,11300000,
83,2005-01-01,Zambia,12050000,
84,2005-01-01,Mali,12800000,
85,2005-01-01,Zimbabwe,12940000,
86,2005-01-01,Malawi,13040000,
87,2005-01-01,Guatemala,13100000,
88,2005-01-01,Cambodia,13270000,
89,2005-01-01,Burkina Faso,13420000,
90,2005-01-01,Niger,13620000,
91,2005-01-01,Ecuador,13740000,
92,2005-01-01,Kazakhstan,15540000,
93,2005-01-01,Chile,16149999,
94,2005-01-01,Netherlands,16370000,
95,2005-01-01,Cameroon,17420000,
96,2005-01-01,Syrian Arab Republic,18290000,
97,2005-01-01,Madagascar,18340000,
98,2005-01-01,Sri Lanka,19520000,
99,2005-01-01,Angola,19550000,
100,2005-01-01,Australia,20240000,
101,2005-01-01,Yemen,20580000,
102,2005-01-01,Mozambique,20920000,
103,2005-01-01,Romania,21430000,
104,2005-01-01,Ghana,21540000,
105,2005-01-01,Saudi Arabia,23910000,
106,2005-01-01,Afghanistan,25070000,
107,2005-01-01,Nepal,25640000,
108,2005-01-01,Malaysia,25660000,
109,2005-01-01,Uzbekistan,26510000,
110,2005-01-01,Iraq,27010000,
111,2005-01-01,Peru,27610000,
112,2005-01-01,Uganda,28540000,
113,2005-01-01,Morocco,30520000,
114,2005-01-01,Sudan,30910000,
115,2005-01-01,Canada,32290000,
116,2005-01-01,Algeria,33290000,
117,2005-01-01,Kenya,36050000,
118,2005-01-01,Poland,38360000,
119,2005-01-01,Argentina,39150000,
120,2005-01-01,United Rep. of Tanzania,39410000,
121,2005-01-01,Colombia,43290000,
122,2005-01-01,Spain,44040000,
123,2005-01-01,Ukraine,46890000,
124,2005-01-01,Myanmar,48480000,
125,2005-01-01,Republic of Korea,48710000,
126,2005-01-01,Italy,58810000,
127,2005-01-01,United Kingdom,60290000,
128,2005-01-01,France,61230000,
129,2005-01-01,Thailand,65430000,
130,2005-01-01,Turkey,67900000,
131,2005-01-01,Iran (Islamic Republic of),70420000,
132,2005-01-01,Ethiopia,76730000,
133,2005-01-01,Egypt,76780000,
134,2005-01-01,Germany,81670000,
135,2005-01-01,Viet Nam,84310000,
136,2005-01-01,Philippines,86270000,
137,2005-01-01,Mexico,108470000,
138,2005-01-01,Japan,128340000,
139,2005-01-01,Nigeria,138940000,
140,2005-01-01,Bangladesh,143430000,
141,2005-01-01,Russian Federation,143620000,
142,2005-01-01,Pakistan,153910000,
143,2005-01-01,Brazil,186920000,
144,2005-01-01,Indonesia,226710000,
145,2005-01-01,India,1144120000,
146,2005-01-01,China,1321620000,
