,Time,Name,Population growth (%),Life expectancy (years)
0,2000-01-01,Algeria,1.3,71.5
1,2000-01-01,Sub-Saharan Africa,2.7,50.7
2,2000-01-01,Sudan,2.5,59.4
3,2000-01-01,Suriname,1.1,68.1
4,2000-01-01,Swaziland,0.8,46.0
5,2000-01-01,Sweden,0.4,80.1
6,2000-01-01,Switzerland,0.7,80.5
7,2000-01-01,Syrian Arab Republic,2.2,73.6
8,2000-01-01,TFYR of Macedonia,0.2,73.8
9,2000-01-01,Tajikistan,2.0,66.5
10,2000-01-01,Thailand,0.8,71.2
11,2000-01-01,Timor-Leste,3.3,61.5
12,2000-01-01,Togo,2.7,53.9
13,2000-01-01,Costa Rica,1.6,77.8
14,2000-01-01,Tonga,0.6,71.2
15,2000-01-01,"Total, all countries or areas",1.3,67.2
16,2000-01-01,Trinidad and Tobago,0.5,68.7
17,2000-01-01,Tunisia,0.8,73.7
18,2000-01-01,Turkey,1.4,71.4
19,2000-01-01,Turkmenistan,1.0,64.2
20,2000-01-01,State of Palestine,2.1,71.2
21,2000-01-01,Sri Lanka,0.8,73.2
22,2000-01-01,Spain,1.5,79.9
23,2000-01-01,Southern Asia,1.7,64.0
24,2000-01-01,Rwanda,2.3,50.6
25,2000-01-01,Czechia,-0.1,75.5
26,2000-01-01,Cyprus,1.7,78.3
27,2000-01-01,Saint Lucia,0.8,72.1
28,2000-01-01,Saint Vincent & Grenadines,0.2,70.7
29,2000-01-01,Samoa,0.6,70.1
30,2000-01-01,Cuba,0.2,77.2
31,2000-01-01,Sao Tome and Principe,2.3,63.8
32,2000-01-01,Saudi Arabia,2.8,72.9
33,2000-01-01,Congo,2.8,52.1
34,2000-01-01,Senegal,2.6,58.9
35,2000-01-01,Sierra Leone,4.3,41.3
36,2000-01-01,Singapore,2.8,79.2
37,2000-01-01,Croatia,-0.2,74.9
38,2000-01-01,Slovenia,0.1,76.7
39,2000-01-01,Solomon Islands,2.6,64.7
40,2000-01-01,Somalia,2.9,51.5
41,2000-01-01,South Africa,1.3,53.8
42,2000-01-01,South Sudan,3.8,50.2
43,2000-01-01,South-eastern Asia,1.4,68.1
44,2000-01-01,Serbia,-0.6,72.4
45,2000-01-01,Comoros,2.4,59.6
46,2000-01-01,Uganda,3.4,49.9
47,2000-01-01,Ukraine,-0.8,67.5
48,2000-01-01,Bahrain,5.8,74.9
49,2000-01-01,Bangladesh,1.7,66.7
50,2000-01-01,Barbados,0.3,73.8
51,2000-01-01,Belarus,-0.6,67.8
52,2000-01-01,Belgium,0.5,78.4
53,2000-01-01,Belize,2.7,68.5
54,2000-01-01,Benin,3.0,56.2
55,2000-01-01,Chile,1.1,77.4
56,2000-01-01,Bhutan,2.7,62.9
57,2000-01-01,Bahamas,2.0,73.2
58,2000-01-01,Bolivia (Plurin. State of),1.8,62.1
59,2000-01-01,Botswana,1.4,49.2
60,2000-01-01,Brazil,1.3,71.1
61,2000-01-01,Chad,3.8,47.7
62,2000-01-01,Brunei Darussalam,1.8,75.7
63,2000-01-01,Bulgaria,-0.8,72.2
64,2000-01-01,Burkina Faso,2.9,51.6
65,2000-01-01,Burundi,3.0,52.0
66,2000-01-01,Cabo Verde,1.7,71.3
67,2000-01-01,Cambodia,1.8,60.8
68,2000-01-01,Bosnia and Herzegovina,0.1,74.8
69,2000-01-01,Russian Federation,-0.4,64.9
70,2000-01-01,Azerbaijan,1.0,67.4
71,2000-01-01,Australia,1.2,80.3
72,2000-01-01,United Arab Emirates,7.5,74.8
73,2000-01-01,United Kingdom,0.4,78.4
74,2000-01-01,United Rep. of Tanzania,2.8,53.7
75,2000-01-01,United States of America,0.9,77.2
76,2000-01-01,Uzbekistan,1.3,67.7
77,2000-01-01,Vanuatu,2.5,68.4
