,Time,Name,Population growth (%)
0,2000-01-01,Algeria,1.3
1,2000-01-01,Sub-Saharan Africa,2.7
2,2000-01-01,Sudan,2.5
3,2000-01-01,Suriname,1.1
4,2000-01-01,Swaziland,0.8
5,2000-01-01,Sweden,0.4
6,2000-01-01,Switzerland,0.7
7,2000-01-01,Syrian Arab Republic,2.2
8,2000-01-01,TFYR of Macedonia,0.2
9,2000-01-01,Tajikistan,2.0
10,2000-01-01,Thailand,0.8
11,2000-01-01,Timor-Leste,3.3
12,2000-01-01,Togo,2.7
13,2000-01-01,Costa Rica,1.6
14,2000-01-01,Tonga,0.6
15,2000-01-01,"Total, all countries or areas",1.3
16,2000-01-01,Trinidad and Tobago,0.5
17,2000-01-01,Tunisia,0.8
18,2000-01-01,Turkey,1.4
19,2000-01-01,Turkmenistan,1.0
20,2000-01-01,State of Palestine,2.1
21,2000-01-01,Sri Lanka,0.8
22,2000-01-01,Spain,1.5
23,2000-01-01,Southern Asia,1.7
24,2000-01-01,Rwanda,2.3
25,2000-01-01,Czechia,-0.1
26,2000-01-01,Cyprus,1.7
27,2000-01-01,Saint Lucia,0.8
28,2000-01-01,Saint Vincent & Grenadines,0.2
29,2000-01-01,Samoa,0.6
30,2000-01-01,Cuba,0.2
31,2000-01-01,Sao Tome and Principe,2.3
32,2000-01-01,Saudi Arabia,2.8
33,2000-01-01,Congo,2.8
34,2000-01-01,Senegal,2.6
35,2000-01-01,Sierra Leone,4.3
36,2000-01-01,Singapore,2.8
37,2000-01-01,Croatia,-0.2
38,2000-01-01,Slovenia,0.1
39,2000-01-01,Solomon Islands,2.6
40,2000-01-01,Somalia,2.9
41,2000-01-01,South Africa,1.3
42,2000-01-01,South Sudan,3.8
43,2000-01-01,South-eastern Asia,1.4
44,2000-01-01,Serbia,-0.6
45,2000-01-01,Comoros,2.4
46,2000-01-01,Uganda,3.4
47,2000-01-01,Ukraine,-0.8
48,2000-01-01,Bahrain,5.8
49,2000-01-01,Bangladesh,1.7
50,2000-01-01,Barbados,0.3
51,2000-01-01,Belarus,-0.6
52,2000-01-01,Belgium,0.5
53,2000-01-01,Belize,2.7
54,2000-01-01,Benin,3.0
55,2000-01-01,Chile,1.1
56,2000-01-01,Bhutan,2.7
57,2000-01-01,Bahamas,2.0
58,2000-01-01,Bolivia (Plurin. State of),1.8
59,2000-01-01,Botswana,1.4
60,2000-01-01,Brazil,1.3
61,2000-01-01,Chad,3.8
62,2000-01-01,Brunei Darussalam,1.8
63,2000-01-01,Bulgaria,-0.8
64,2000-01-01,Burkina Faso,2.9
65,2000-01-01,Burundi,3.0
66,2000-01-01,Cabo Verde,1.7
67,2000-01-01,Cambodia,1.8
68,2000-01-01,Bosnia and Herzegovina,0.1
69,2000-01-01,Russian Federation,-0.4
70,2000-01-01,Azerbaijan,1.0
71,2000-01-01,Australia,1.2
72,2000-01-01,United Arab Emirates,7.5
73,2000-01-01,United Kingdom,0.4
74,2000-01-01,United Rep. of Tanzania,2.8
75,2000-01-01,United States of America,0.9
76,2000-01-01,Uzbekistan,1.3
77,2000-01-01,Vanuatu,2.5
78,2000-01-01,Venezuela (Boliv. Rep. of),1.8
